Run	Barcode	Sample_ID	Dataset	Notes
ONT_mockskinpw1_cont1	barcode02	LF2B_cont	ONT_skin	
ONT_skinecoli1_cont1	barcode02	LF2B_cont1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_cont2	barcode02	LF2B_cont2	ONT_skin_ecoliadapdet	
ONT_skinstaph1_cont2	barcode02	LF2B_cont3	ONT_skin_staphadapdet	
ONT_skinstaph1_cont1	barcode02	LF2B_cont4	ONT_skin_staphadapdet	
ONT_skinecoli1_adapdet1	barcode04	LF2C_adap1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode04	LF2C_adap2	ONT_skin_ecoliadapdet	
ONT_skinecoli1_cont1	barcode04	LF2C_cont1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_cont2	barcode04	LF2C_cont2	ONT_skin_ecoliadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode11	MC1F_adap	ONT_mock_staphadapdet	
ONT_mockecoli2_adapdet1	barcode11	MC1F_adap1	ONT_mock_ecoliadapdet	
ONT_mockecoli2_adapdet2	barcode11	MC1F_adap2	ONT_mock_ecoliadapdet	
ONT_mockskinpw1_staphadapdet1	barcode11	MC1F_adap3	ONT_mock_staphadapdet 	
ONT_mockskinpw1_alladapdet1	barcode11	MC1F_adap4	ONT_mock_alladapdet 	
ONT_mockskinpw1_cont1	barcode11	MC1F_cont	ONT_mock	
ONT_mockecoli1_cont1	barcode11	MC1F_cont1	ONT_mock_staphadapdet	
ONT_mockecoli2_cont1	barcode11	MC1F_cont3	ONT_mock_ecoliadapdet	
ONT_mockecoli2_cont2	barcode11	MC1F_cont2	ONT_mock_ecoliadapdet	
ONT_mockstaph1_adapdet1	barcode11	MC1G_adap1	ONT_mock_staphadapdet	
ONT_mockstaph1_adapdet2	barcode11	MC1G_adap2	ONT_mock_staphadapdet	
ONT_mockstaph1_cont1	barcode11	MC1G_cont1	ONT_mock_staphadapdet	
ONT_mockstaph1_cont2	barcode11	MC1G_cont2	ONT_mock_staphadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode05	MCE1F_adap	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli1_cont1	barcode05	MCE1F_cont	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli2_adapdet1	barcode05	MCE1G_adap1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_adapdet2	barcode05	MCE1G_adap2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont1	barcode05	MCE1G_cont1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont2	barcode05	MCE1G_cont2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode06	MCE2F_adap	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli1_cont1	barcode06	MCE2F_cont	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli2_adapdet1	barcode06	MCE2G_adap1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_adapdet2	barcode06	MCE2G_adap2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont1	barcode06	MCE2G_cont1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont2	barcode06	MCE2G_cont2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode07	MCE3F_adap	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli1_cont1	barcode07	MCE3F_cont	ONT_mock_staphepi_staphadapdet	
ONT_mockskinpw1_alladapdet1	barcode07	MCE3G_adap	ONT_mock_clinicecoli_alladapdet 	
ONT_mockecoli2_adapdet1	barcode07	MCE3G_adap1	ONT_mock_clinicecoli_ecoliadapdet	
